effect_key,name,kind,duration,estimated_value,manual_override,pulse_type,pulse_value,pulse_derived_from,modifier_total_abs,modifiers_json,onTargeted_type,onTargeted_value,onDamaged_type,onDamaged_value,onDeath_type,onDeath_value,healApplierOnPulse,spreadEffectToAdjacentOnPulse,preventSingleTarget,taunt,blocksProjectileAndColumn,redirectSingleTargetToEffectApplier,forceMultiTargetToSelf,forceSingleTargetLowestArmor,preventMovement,trigger,spellSpec_targets,spellSpec_formula,notes,description
SentryPyre,Sentry Pyre,neutral,4,0,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""projectile"",""side"":""enemy""}]","{""type"":""attackPower"",""value"":2}",,"At the start of each round, fires a projectile for 2 damage at a random enemy for 4 rounds."
ScavengedInsight,Scavenged Insight,buff,2,1.6,,,,,1,"{""spellPower"":1}",,,,,,,,,,,,,,,,,,,,Grants +1 Spell Power for 2 rounds.
ExplosiveTrap,Explosive Trap,neutral,3,0,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""projectile"",""side"":""enemy""}]","{""type"":""attackPower"",""value"":3}",,"At the start of each round, fires a projectile for 3 damage at a random enemy for 3 rounds."
Turret,Turret,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""highestHealth"",""side"":""enemy"",""max"":1}]","{""type"":""attackPower"",""value"":5,""ignoreSpellPower"":true}",,"At the start of each round, this effect targets the enemy with the highest Health and deals 5 damage."
FieldUpgrade,Field Upgrade,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,Spells cast by this hero ignore Armor.
Minion,Minion,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""highestHealth"",""side"":""enemy"",""max"":1}]","{""type"":""damage"",""value"":2,""ignoreSpellPower"":true}",,"At the start of each round, this effect targets the enemy with the highest Health and deals 2 damage."
LesserWard,Lesser Ward,buff,1,1.6,,,,,2,"{""armor"":2}",,,,,,,,,,,,,,,,,,,,Grants +2 Armor for 1 round.
ArmorUp,Armor Up,buff,permanent,9.600000000000001,,,,,2,"{""armor"":2}",,,,,,,,,,,,,,,,,,,,Increases Armor by 2.
ArmorDown,Armor Down,debuff,permanent,6.8999999999999995,,,,,1,"{""armor"":-1}",,,,,,,,,,,,,,,,,,,,Reduces Armor by 1.
ArmorBreak,Armor Break,debuff,permanent,13.799999999999999,,,,,2,"{""armor"":-2}",,,,,,,,,,,,,,,,,,,,Reduces Armor by 2.
Armor,Armor,buff,permanent,4.800000000000001,,,,,1,"{""armor"":1}",,,,,,,,,,,,,,,,,,,,Increases Armor by 1.
ArmorBearer,Armor Bearer,buff,permanent,14.4,,,,,3,"{""armor"":3}",,,,,,,,,,,,,,,,,,,,Increases Armor by 3.
Overencumbered,Overencumbered,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Passive: This hero's Armor cannot exceed 4.
HardFall,Hard Fall,buff,permanent,2.25,,,,,0,,,,,,damageEnemiesWithSpeedAtMost,3,,,,,,,,,,,,,,"On death, deal 3 damage (ignores Armor) to all enemies with Speed 2 or less."
MonsterSlayer,Monster Slayer,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Passive: Gains +1 Spell Power when targeting monster heroes.
Strength,Strength,buff,permanent,4.800000000000001,,,,,1,"{""spellPower"":1}",,,,,,,,,,,,,,,,,,,,Permanently grants +1 Spell Power.
Bounty,Bounty,passive,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Upon dealing a killing blow gain 2 Health and apply Strength (spellPower +1).
AcceptContract,Accept Contract,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Passive: If an enemy gains more than 4 Energy they gain Mark.
Smolder,Smolder,passive,permanent,0,,,,,0,,applyEffectToAttacker,,,,,,,,,,,,,,,,,,,"Passive: When targeted by an enemy spell, apply Burn to the attacker."
PayTheToll,Pay The Toll,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,"Whenever an enemy hero is moved or swapped, they take 2 damage if they end on the main board."
Ghost,Ghost,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Specter spells ignore Armor. When targeted by an enemy spell, roll a d6; on 5-6 the spell misses Specter."
Awaken,Awaken,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Each time this hero is targeted by an enemy spell, gain +1 Speed (max 3). Effects cannot alter this hero's Speed."
Link,Link,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Each time another ally (not this hero) casts a spell, gain 1 Energy."
VoidShield,Void Shield,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,Each stack reduces incoming damage by 1 after normal calculations.
Frenzy,Frenzy,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Each time this hero takes damage, they gain +1 Energy."
Lifesteal,Lifesteal,passive,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Each time this hero damages an enemy with a spell, heal 1 Health per enemy damaged."
BloodSuck,Blood Suck,passive,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Each time this hero casts a spell, heal 2 Health for each enemy targeted that has Bleed."
UndyingRage,Undying Rage,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Passive: The first instance of damage that would have killed this hero instead reduces them to 1 Health. One-time use.
Crumble,Crumble,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: The first time this hero's Health falls below 7, they permanently lose 1 base Armor."
MudArmor,Mud Armor,buff,permanent,14.4,,,,,3,"{""armor"":3}",,,,,,,,,,,,,,,,,,,,Increases Armor by 3.
Regeloop,Regeloop,passive,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,"Passive: Up to 3 times per game, lethal damage instead restores this hero to 4 Health and removes all buffs and debuffs."
Rejuvenate,Rejuvenate,buff,7,10.2,,heal,2,,0,,,,,,,,,,,,,,,,,,,,,Heals host for 2 at the start of each round for up to 7 rounds.
HealingWater,Healing Water,buff,7,1,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""adjacentToSelf"",""side"":""ally""}]","{""type"":""heal"",""value"":1}",,"At the beginning of each round, heals adjacent allies for 1."
Reap,Reap,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,"When an enemy is at 2 or less Health, deal 999 damage to that enemy."
Treachery,Treachery,debuff,permanent,24,,damage,0,armor,0,,,,,,,,,,,,,,,,,,,,,At the start of each round this debuff deals damage equal to the affected Hero's current Armor.
Prayer,Prayer,buff,7,1.15,,,,,0,,,,healAlliesExceptSelf,1,,,,,,,,,,,,,,,,"When damaged, heal all allies except self for 1 (expires after 7 rounds)."
PrayerII,Prayer II,buff,7,2.3,,,,,0,,,,healAlliesExceptSelf,2,,,,,,,,,,,,,,,,"When damaged, heal all allies except self for 2 (expires after 7 rounds)."
DeathPact,Death Pact,buff,permanent,1,,,,,0,,,,damage,equal,,,,,,,,,,,,,,,,"When damaged by an enemy spell, deal equal damage back to the attacker."
Curse,Curse,debuff,permanent,6.8999999999999995,,,,,1,"{""spellPower"":-1}",,,,,,,,,,,,,,,,,,,,Reduces Spell Power by 1.
Counter,Counter,buff,permanent,2.3,,,,,0,,damage,2,,,,,,,,,,,,,,,,,,"When the effected Hero is targeted by an enemy spell, deal 2 damage to that attacker."
AdjacentBlast,Adjacent Blast,debuff,permanent,1.5,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""adjacent"",""side"":""enemy""}]","{""type"":""attackPower"",""value"":2}",,"At the start of each round, this effect damages adjacent enemies for 2."
StaticShock,Static Shock,debuff,permanent,1.5,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""adjacentToSelf"",""side"":""enemy""}]","{""type"":""damage"",""value"":2}",,Deals 2 damage to adjacent heroes at the beginning of each round.
Power,Power,buff,permanent,9.600000000000001,,,,,2,"{""spellPower"":2}",,,,,,,,,,,,,,,,,,,,Increases Spell Power by 2.
Enraged,Enraged,buff,permanent,9.600000000000001,,,,,2,"{""spellPower"":2}",,,,,,,,,,,,,,,,,,,,Increases Spell Power by 2 and increases incoming damage by 1 after normal calculations.
SoulLink,Soul Link,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,"After damage is calculated on an adjacent ally, split that final damage in half (round up to the Soul Link hero). Soul Link does not stack."
Shackle,Shackle,debuff,permanent,1.5,,,,,0,,,,,,,,,,,,,,,,true,,,,,Prevents the affected Hero from being moved between Rounds or by any spells.
Retribution,Retribution,buff,permanent,3.4499999999999997,,,,,0,,damage,3,,,,,,,,,,,,,,,,,,Deals 3 damage to any enemy who targets the effected Hero with a spell.
